1,2,3,4,5,6,7,8,9
-698.1645491,-698.164093,-698.1626923,-698.1602832,-698.1522455,-698.1466188,-698.1401801,-698.1474458,-698.1533727
-698.1640458,-698.1634328,-698.1618732,-698.1593067,-698.1509497,-698.1451853,-698.1386847,-698.1450399,-698.1511723
-698.1625145,-698.1617158,-698.1599735,-698.1572206,-698.1484853,-698.1425602,-698.1360133,-698.141258,-698.1476418
-698.1599373,-698.1589264,-698.1569716,-698.1540028,-698.1448159,-698.1387022,-698.1383342,-698.1377023,-698.1421
-698.1565554,-698.155045,-698.1528588,-698.1496484,-698.1399376,-698.1336199,-698.1336216,-698.1325946,-698.13564
-698.1521576,-698.1500484,-698.1476152,-698.1441524,-698.1338958,-698.1274449,-698.1278707,-698.1260064,-698.1275579
-698.1467139,-698.1448437,-698.1412631,-698.137558,-698.1268853,-698.1253153,-698.1214377,-698.118801,-698.1177725
-698.1404075,-698.1384591,-698.1353272,-698.1301208,-698.1268911,-698.1208545,-698.1150565,-698.1103937,-698.1070738
-698.1518149,-698.1492231,-698.1452853,-698.1396841,-698.1261141,-698.1180194,-698.1098827,-698.1024326,-698.0965326
-698.1555998,-698.1528329,-698.1486966,-698.142318,-698.127837,-698.1184539,-698.1078402,-698.096898,-698.0865605
-698.1598965,-698.1569999,-698.1527172,-698.1456753,-698.1305035,-698.1205572,-698.1090763,-698.0962721,-698.0824323
-698.1644283,-698.1614625,-698.1570885,-698.1493462,-698.1338325,-698.1235686,-698.1115837,-698.0978871,-698.0832072
-698.168975,-698.1659568,-698.1615156,-698.1531259,-698.1373424,-698.1269137,-698.1146885,-698.0993575,-698.0818347